user_id,variant,converted,pre_exposure
0,A,1,0.8377190663280181
1,B,0,0.16036854101260944
2,B,0,0.39212679513298465
3,A,0,0.2314700351459119
4,A,0,0.03929918805166674
5,B,1,0.9084785164728455
6,A,0,0.5912000135390412
7,B,0,0.48412428893877263
8,A,0,0.0
9,A,0,0.0
10,B,0,0.013017661238794359
11,B,0,0.2123977938041731
12,B,0,0.0
13,B,0,0.1343625008202363
14,B,0,0.0
15,B,0,0.0
16,B,0,0.036722305142807055
17,A,0,0.10510995308925365
18,B,0,0.32348916091223984
19,A,0,0.5127540108328033
20,B,0,0.16143960111678973
21,A,0,0.6099390411649057
22,A,0,0.00044159795401596535
23,B,0,0.30545302102790595
24,B,0,0.47104105449554257
25,B,0,0.22820368932826238
26,A,0,0.0
27,B,0,0.0
28,B,0,0.06268225229979826
29,A,0,0.26605853704101484
30,A,0,0.0
31,A,0,0.1372473275384861
32,A,0,0.1522324970256567
33,B,1,0.9622536754057424
34,B,0,0.26439773675190226
35,A,0,0.30661181271197646
36,B,0,0.0038514171744981895
37,B,0,0.16111590989216917
38,A,1,1.035192641018399
39,B,0,0.6480293435662282
40,A,0,0.0
41,B,0,0.6541771324217187
42,B,0,0.6037626271346914
43,A,0,0.4343934202101283
44,A,0,0.27933668909879106
45,B,0,0.10582315563907167
46,A,0,0.6374062050610876
47,B,0,0.7880774949349894
48,B,0,0.7404904609598375
49,B,0,0.594531129420311
50,B,0,0.3072141231976868
51,A,0,0.0
52,A,0,0.19866376006397504
53,A,0,0.3969424805229007
54,A,0,0.0
55,A,0,0.3185366180546025
56,B,1,0.9289591084466691
57,A,0,0.40881281718886053
58,B,0,0.0
59,B,1,0.6014892283882896
60,B,0,0.06906942585703366
61,B,0,0.0
62,A,0,0.7218103631390402
63,B,0,0.05122678146735446
64,A,0,0.2986908888380606
65,A,0,0.12242823635782281
66,B,1,1.2750418636406367
67,A,0,0.5961082961245517
68,A,0,0.39000578684747456
69,A,0,0.0
70,B,1,0.815608692277966
71,A,0,0.40510585723296033
72,A,0,0.5011884727526509
73,A,0,0.014627886587719768
74,B,0,0.746603408998497
75,A,0,0.0
76,A,0,0.0015415934554342814
77,A,0,0.48051499643420664
78,B,0,0.2147163841475935
79,B,0,0.8007177750935766
80,B,1,0.8565557577537397
81,A,0,0.010041772942331995
82,A,0,0.08673094843015755
83,B,0,0.0
84,B,1,0.41669595008401766
85,B,0,0.38912344723046954
86,A,0,0.3743497437238417
